0 常压蒸汽养护过程分为四个阶段,其中包括()。	升温阶段; 降温阶段; 恒温阶段; 
289 采用冻结法施工,每日砌筑高度和临时间断处的高度差不得超过( )	1.2m;
290 国家标准规定,水泥的初凝时间,不得早于( )	45min;
291 相关各专业工种之间,应进行( )验收。	交接;
292 模板按( )分类,可分为现场拆装式模板、固定式模板和移动式模板	施工方法;
293 在冬期施工中,拌合砂浆用水的温度不得超过( )	80℃;
294 跨度大于 ( )m的板,现浇混凝土达到立方体抗压强度标准值的 100% 时方可拆除底模板。	8m;
295 为防止蒸汽养护的混凝土构件表面产生裂缝,和疏松现象,必须在养护中设置( )	静停阶段;
296 混凝土采用冬期施工技术措施施工的依据是:连续五天室外平均气温低于( )	+5 ℃;
297 单位工程质量验收过程中,当参加验收的各方对工程质量验收出现意见分歧时,可请( )协调处理	工程质量监督机构;
298 硅酸盐水泥拌制的混凝土养护时间不的少于( )	7D、;
299 砖墙的转角处与交接处应同时砌起,当不能同时砌起需留斜槎时,斜槎长度不应小于高度的比例为( )	22/3H;
300 砖体墙不得在( )的部位留脚手眼	距门窗洞口两侧200mm;
301 砂浆的强度是由边长为( )的立方体标准试块,经过28d标准养护,测得一组六块的抗压强度值来评定的	7.07cm;
302 与混凝土结构中钢筋锈蚀无关的是( )。	钢筋直径;
303 砖墙砌体灰缝厚度一般应控制在( )左右	10mm;
304 泵送混凝土中通过 0.135mm 筛孔的砂应不少于 15% ,含砂率宜控制在( )。	40%~45%;
305 混凝土自由下落高度不应超过 2m, 主要防止混凝土产生( )	离析;
306 对于实心砖砌体宜采用( )砌筑,容易保证灰缝饱满	“三一”砌砖法;
307 砌砖墙留直槎时,必须留成阳槎并加设拉结筋拉结筋沿墙高每500mm留一层,每层按( ) 墙厚留一根,但每层最少为2根	120mm;
308 泵送混凝土的最小水泥用量为( )	300 kg/m3;
309 关于砂浆稠度的选择,以下说法正确的是( )	在干热条件下施工时,应增加砂浆稠度;
310 套筒挤压连接缺点是( )。	连接速度较慢;
311 悬挑构件的主筋布置在构件的( )	上部;
312 麻面、蜂窝、漏筋、孔洞、内部不实产生原因之一是( )。	模板拼缝不严,板缝处漏浆;
313 某住宅楼层高为3.0m,在雨天施工时,最短允许( )天砌完一层	2.5;
314 模板按( )分类,可分为基础 模板、柱 模板、梁 模板、楼板 模板、墙模板等	结构类型;
315 泵送混凝土的坍落度不宜低于( )	100mm;
316 ( )项目是对检验批的基本质量产生决定性影响的检验项目,不允许有不符合要求的检验结果。	主控;
317 剪力墙结构中剪力墙的主要作用是( )	承受风荷载或地震作用引起的水平荷载;
318 施工规范规定,梁跨度大于或等于( )以上时,底模板应起拱。	4m;
319 常压蒸汽养护混凝土构件的静停时间一般为( )。	2~6h;
320 砂浆应该随拌随用,当施工期间温度小于30C,水泥砂浆和混合砂浆必须在拌成后( )内使用完毕	4h;
321 所谓混凝土的自然养护,是指在平均气温不低于( )条件下,在规定时间内使混凝土保持足够的湿润状态	5 ℃;
322 土建施工中二次结构施工是指	框架或框剪建筑结构施工中墙体的砌筑;
323 当混凝土液相的 PH 值小于( )时,钢筋锈蚀速度急剧加快	4;
324 国家标准规定,水泥的初凝时间,不得早于( )	45min;
325 适用于建筑施工和维修,也可在高层建筑施工中运送施工的时( )	施工升降机;
326 适宜泵送混凝土塌落度是( )。	80~180mm;
327 拆装方便、通用性较强、周转率高的模板是( )	组合钢模板;
328 有钢筋混凝土构造柱的标准砖应砌成马牙槎,每槎高度不超过( )	五皮砖;
329 模板的拆除顺序应按设计方案进行。当无规定时,应按顺序( )拆除混凝土 模板。	先支后拆,后支先拆;
330 某梁的跨度为 6m 。采用钢模板、钢支柱支模时,其跨中起拱高度可为( )	8mm;
331 钢筋的冷拉调直必须控制钢筋的( )。	冷拉率;
332 确定试验室配合比所用的砂石( )。	都是干燥的;
333 混凝土分层浇灌时,每层的厚度不应超过振捣棒的( )倍。	1.25;
334 ( )是一种大型工具式模板,整体性好,混凝土表面容易平整、施工速度快。	胎模;
335 在砖墙中留设施工洞时,洞边距墙体交接处的距离不得小于( )	500mm;
336 砌筑用脚手架的宽度一般为不小于( )	1.5m;
337 应在模板安装后进行的是( )	楼板钢筋安装绑扎;
338 预应力混凝土的强度等级一般不宜低于()	C40;
339 施工规范规定,在任何情况下,受压钢筋的搭接长度不应小于 ( )mm	200;
